sym,tick,px,tick_bp,adv_hr,ladv
BERAUSDT,9.999999999998899e-05,1.271,0.7867820613689142,2693164.824025213,6.430262933424189
BEUSDT,0.009999999999990905,239.27,0.41793789442850776,553877.5933648141,5.743413796497383
BICOUSDT,9.999999999999593e-06,0.1349,0.7412898443291025,541236.5864234237,5.733387146286178
BIDUSDT,9.999999999996123e-06,0.03275,3.053435114502633,499679.9730491433,5.698691943461914
BIGTIMEUSDT,4.864999999999904e-06,0.06783,0.7172342621258888,2481863.8456816287,6.39477795254906
BILLUSDT,9.999999999999593e-06,0.04231,2.3635074450483553,2847852.6743108854,6.454517518536174
BIOUSDT,9.999999999999593e-06,0.0544,1.8382352941175721,2739602.1699374435,6.437687501526575
BIRBUSDT,1.0000000000003062e-05,0.12938,0.7729169887156487,707983.2474171349,5.850022981361557
BITOUSDT,0.009999999999999787,8.75,11.428571428571184,7125.735298589894,3.852829685472627
BLESSUSDT,1.999999999999398e-06,0.008287,2.4134186074567374,2162505.1816532994,6.334957156766095
BLUAIUSDT,1.0000000000001327e-06,0.009968,1.0032102728733274,652092.4096273073,5.814309145037759
BLUEBIRDUSDT,0.0009999999999994458,8.013,1.2479720454254908,100044.72158802734,5.000194179972074
BLURUSDT,9.999999999999593e-06,0.1638,0.6105006105005856,2070863.5646305266,6.316151487073099
BLZUSDT,1.0000000000003062e-05,0.09174,1.0900370612604167,1491330.0028784059,6.173573755170712
BMNRUSDT,0.00999999999999801,16.66,6.00240096038296,333930.5876279224,5.523656201712657
BMTUSDT,9.999999999999593e-06,0.02642,3.785011355033911,821890.6859379044,5.914814058840596
BNBUSDT,0.004999999999999005,382.48,0.13072578958374306,25358718.317594007,7.404127299617313
BNCUSDT,0.0009999999999998899,2.831,3.532320734722324,41647.33289371295,4.619587194299072
BNTUSDT,6.580000000000153e-05,0.54193,1.2141789530013385,502649.0084276346,5.7012648301619535
BNXUSDT,9.999999999998899e-05,2.0,0.49999999999994493,1592867.258052355,6.202179585281726
BOBUSDT,1.0000000000001327e-06,0.005666,1.7649135192377916,428423.32383553614,5.631873106271249
BOMEUSDT,1.0000000000000243e-07,0.001783,0.5608524957936198,5185707.966210036,6.714808055774129
BONDUSDT,0.0009999999999998899,1.069,9.354536950419924,653867.6498204645,5.815489851123269
BOTUSDT,0.00999999999999801,28.235,3.5417035594113724,76418.6259027301,4.883199224294197
BRETTUSDT,1.999999999999398e-06,0.036815,0.5432568246636964,671017.5171274195,5.826733857713667
BREVUSDT,1.0000000000010001e-05,0.1166,0.857632933105489,775422.6836953425,5.8895385014166415
BRKBUSDT,0.009999999999990905,495.34,0.20188153591454164,32486.940975740818,4.511708819381255
BROCCOLI714USDT,9.999999999999593e-06,0.01833,5.455537370430766,726334.0261421234,5.86113638977564
BROCCOLIF3BUSDT,9.99999999999699e-07,0.006728,1.4863258026154864,529372.2345847898,5.723761158947126
BRUSDT,9.999999999996123e-06,0.07143,1.3999720005594463,583499.9030737086,5.766040788239903
BSBUSDT,2.0000000000020002e-05,0.22769,0.8783872809530503,4112719.638759587,6.614129104965124
BSPUSDT,0.00999999999999801,36.24,2.759381898454197,109668.72371841923,5.040082789350494
BSVUSDT,0.00999999999999801,35.855000000000004,2.7890112954951913,751874.9316952142,5.876145605230031
BSWUSDT,9.999999999997424e-06,0.0148,6.756756756755016,376141.39444934146,5.575351130262831
BTCDOMUSDT,0.09999999999990905,2168.7,0.4611057315438238,352695.278463615,5.547399645800398
BTCUSDT,0.6400000000004366,43548.36,0.1469630544067415,545868396.4308492,8.737087951142376
BTRUSDT,9.999999999999593e-06,0.034265000000000004,2.9184298847219,1034040.7652309503,6.0145376603883625
BTSUSDT,9.999999999999593e-06,0.01251,7.9936051159069486,403285.05005920515,5.605612122832976
BTTUSDT,9.99999999999699e-07,0.00359,2.785515320333424,4456288.975806706,6.648973345659617
BTWUSDT,1.9999999999992246e-05,0.08321500000000001,2.403412846240731,4288801.429932684,6.632335939015742
BULLAUSDT,1.000000000001e-06,0.02827,0.35373187124195266,1054101.3285853271,6.0228823607154975
BUSDT,9.999999999998899e-05,0.2218,4.5085662759237595,1136152.5822841628,6.05543665989102
BXUSDT,0.009999999999990905,126.71,0.7892036934725677,35290.67508542591,4.547659966182895
BZRXUSDT,9.999999999998899e-05,0.3009,3.3233632436021594,1791575.981845718,6.253235231590361
BZUSDT,0.009999999999990905,90.41,1.1060723371298424,10038785.67028037,7.001681182072755
C98USDT,1.0000000000001327e-05,0.1734,0.5767012687428678,1419694.4701001947,6.152194890702422
CAKEUSDT,0.00010000000000012221,2.1899,0.45664185579305994,1613005.7888508425,6.207635926013553
CAPUSDT,9.999999999999593e-06,0.02755,3.629764065335605,1205700.2011602987,6.0812393333698544
CARVUSDT,9.99999999999758e-06,0.06392,1.5644555694614486,99269.74148583476,4.996816890909216
CATIUSDT,9.999999999996123e-06,0.0819,1.2210012210007477,1132114.164449288,6.053890224105214
CATUSDT,0.010000000000011368,863.22,0.11584532332442908,35865.765991752574,4.554680110577531
CBRSUSDT,0.009999999999990905,212.63,0.4703005220331517,1596920.4058337319,6.203283270447409
CCUSDT,1.0000000000010001e-05,0.145985,0.6850018837558653,600678.2543755557,5.77864190999689
CELOUSDT,3.0000000000002247e-05,0.556,0.5395683453237814,1382676.6050406257,6.140720614621346
CELRUSDT,1.0000000000001327e-06,0.01524,0.6561679790027118,1312110.143324535,6.117970292837127
CETUSUSDT,9.999999999999593e-06,0.07530500000000001,1.3279330721731082,738425.940746349,5.868306944958685
CFGUSDT,9.999999999998899e-05,0.1946,5.138746145939825,555739.5932168191,5.744871338845924
CFXUSDT,1.0000000000003062e-05,0.146175,0.6841115101763683,4683666.9366437625,6.670586004094458
CGPTUSDT,9.999999999999593e-06,0.05486,1.822821728034924,579865.9973340763,5.763327642972846
CHESSUSDT,9.999999999999593e-06,0.06259,1.5976993129892303,268873.4889535678,5.429547982703854
CHILLGUYUSDT,2.999999999999531e-06,0.024864999999999998,1.206515181982518,1136594.6965524894,6.055605625258454
CHIPUSDT,9.999999999997302e-06,0.0331,3.0211480362529617,3147304.898889265,6.497938817743524
CHRUSDT,1.0000000000001327e-05,0.1604,0.6234413965088109,1656405.7716702789,6.219166735112269
CHZUSDT,9.999999999996123e-06,0.08789,1.1377858686990696,4530314.041942081,6.656128308404719
CIENUSDT,0.009999999999990905,409.67,0.24409890887765529,24677.52328107629,4.39230157029894
CKBUSDT,9.99999999999699e-07,0.0039775,2.514142049025013,1281261.6321933437,6.10763782124818
CLANKERUSDT,0.00999999999999801,26.015,3.84393619065847,268087.4258425356,5.428276444660739
CLOUSDT,1.0000000000010001e-05,0.13587,0.7359976448082727,1434752.138705274,6.156776880798126
CLUSDT,0.009999999999990905,86.49,1.1562030292508851,27235390.22595157,7.4351336021817
COAIUSDT,9.999999999998899e-05,0.3337,2.9967036260110573,4769092.544938522,6.678435750063593
COCOSUSDT,0.0009999999999998899,1.454,6.877579092158802,763334.1932658816,5.882714716874046
COHRUSDT,0.009999999999990905,334.01,0.2993922337651838,300255.28077721247,5.4774906543504995
COINUSDT,0.009999999999990905,171.45,0.5832604257795804,778614.5874654374,5.891322536033052
COLLECTUSDT,9.999999999996123e-06,0.05171,1.933861922258001,572202.6226662844,5.757549844044016
COMBOUSDT,9.999999999998899e-05,0.36695,2.7251669164733334,237100.88127511344,5.3749331682009105
COMMONUSDT,1.0000000000001327e-06,0.00111,9.009009009010203,269584.44800391054,5.430694834670034
COMPUSDT,0.00999999999999801,52.74,1.8960940462643174,1944813.63745355,6.288877991212726
COOKIEUSDT,9.999999999999593e-06,0.076,1.3157894736841569,973953.8974384943,5.9885383998335096
COPPERUSDT,0.0009999999999994458,6.281,1.5921031682844227,312009.66588399815,5.494168048425683
COSTUSDT,0.009999999999990905,950.63,0.10519339806224194,15154.380040607872,4.180538174260205
COSUSDT,9.99999999999699e-07,0.002956,3.3829499323399834,330911.2220582248,5.5197114954624285
COTIUSDT,9.999999999996123e-06,0.08284,1.2071463061318353,1436549.723924918,6.157320663013292
COWUSDT,9.999999999998899e-05,0.2525,3.9603960396035243,1360929.405789066,6.133835598038446
CRCLUSDT,0.009999999999990905,87.59,1.1416828405058688,3918605.0986076402,6.59313149921757
CRDOUSDT,0.009999999999990905,241.15,0.41467965996230166,100893.34699817824,5.00386252939607
CRMUSDT,0.009999999999990905,171.19,0.5841462702255333,47066.79524216643,4.672714628388908
CROSSUSDT,9.999999999996123e-06,0.111705,0.8952150754215231,550621.5193062982,5.74085318041974
CRVUSDT,0.00020000000000000573,0.687,2.911208151382907,5355863.595475102,6.7288295077561715
CRWDUSDT,0.009999999999990905,211.32,0.4732159757709117,72157.26458094535,4.858280061120381
CRWVUSDT,0.009999999999990905,92.26,1.0838933448938766,352004.3014285263,5.546547970510118
CSCOUSDT,0.009999999999990905,117.32,0.8523695874523445,33582.09476538609,4.526107782828643
CTKUSDT,9.999999999998899e-05,0.847,1.1806375442737778,618344.655567998,5.791230611477794
CTRUSDT,1.0000000000001327e-06,0.008899,1.123721766490766,121667.22573543353,5.085173605352614
CTSIUSDT,1.9999999999999185e-05,0.1398,1.4306151645206855,993799.6899987415,5.997298856937732
CUDISUSDT,9.999999999999593e-06,0.02006,4.9850448654035855,262936.51449753455,5.419850901601301
CUSDT,9.999999999996123e-06,0.08189,1.2211503236043622,1196666.9377482738,6.077973292239631
CVCUSDT,9.999999999999593e-06,0.10201,0.980296049406881,559057.0275594312,5.747456111090622
CVXUSDT,0.0009999999999998899,2.374,4.212299915753538,221642.25773098413,5.34565256539652
CYBERUSDT,9.999999999998899e-05,1.939,0.5157297576069572,1614543.3469436169,6.20804970936291
CYSUSDT,9.999999999998899e-05,0.4105,2.436053593178782,1310525.0360907952,6.117445322064169
DAMUSDT,9.999999999999593e-06,0.02726,3.668378576668963,535277.9214172798,5.728579330429216
DARUSDT,9.999999999998899e-05,0.1425,7.017543859648351,644480.188417319,5.809209571505899
DASHUSDT,0.00999999999999801,43.95,2.275312855517181,1613560.5348456176,6.207785263174233
DATAIPUSDT,9.999999999998899e-05,0.21835,4.579803068467552,80761.22600355648,4.907202903170783
DEEPUSDT,9.999999999999593e-06,0.0402,2.487562189054625,434527.166889474,5.638016933975385
DEFIUSDT,0.0999999999999659,896.0,1.116071428571048,262218.2052002354,5.418662840456795
DEGENUSDT,2.999999999999807e-07,0.002165,1.3856812933024516,436256.845930022,5.639742255156472
DEGOUSDT,9.999999999998899e-05,1.0068,0.993245927691587,512197.8922369884,5.709437786956057
DELLUSDT,0.010000000000047748,424.19,0.23574341686620967,515652.2406449094,5.712356909213806
DENTUSDT,9.999999999999159e-07,0.000901,11.098779134294293,1155446.3181810644,6.062749773043766
DEXEUSDT,0.0009999999999998899,8.572,1.1665888940736,1161336.9710161963,6.064958251968822
DFUSDT,9.999999999999593e-06,0.0178,5.617977528089658,254406.85846921866,5.405528815133555
DGBUSDT,9.999999999999593e-06,0.01922,5.2029136316335025,300156.18945666327,5.477347303277965
DIAUSDT,9.999999999998899e-05,0.40175,2.4891101431235594,752601.4273915592,5.87656503767198
DISUSDT,0.009999999999990905,101.23,0.9878494517426558,19119.593580791396,4.281478656376505
DKNGUSDT,0.00999999999999801,25.36,3.9432176656143576,20030.194215128595,4.301685160284577
DMCUSDT,9.999999999999159e-07,0.000702,14.245014245013047,355341.58572036144,5.550646036062444
